mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/EqualsNodeTest.java,com.twitter.nodes.EqualsNodeTest,testEvaluateEquals,()V,void testEvaluateEquals(),org.junit.Test,5,5,5,EqualsNode<T> create(Node<T> nodeA; Node<T> nodeB)|Node<T> value(T value)|T resultFromNode(Node<T> node)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/EqualsNodeTest.java,com.twitter.nodes.EqualsNodeTest,testEvaluateNotEquals,()V,void testEvaluateNotEquals(),org.junit.Test,6,6,5,EqualsNode<T> create(Node<T> nodeA; Node<T> nodeB)|Node<T> value(T value)|T resultFromNode(Node<T> node)|void assertFalse(boolean condition),4,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/IfSuccessfulNodeTest.java,com.twitter.nodes.IfSuccessfulNodeTest,testSuccess,()V,void testSuccess(),org.junit.Test,2,2,4,IfSuccessfulNode create(Node<T> node)|Node<T> value(T value)|T resultFromNode(Node<T> node)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/IfSuccessfulNodeTest.java,com.twitter.nodes.IfSuccessfulNodeTest,testNull,()V,void testNull(),org.junit.Test,2,2,4,IfSuccessfulNode create(Node<T> node)|Node<K> noValue()|T resultFromNode(Node<T> node)|void assertFalse(boolean condition),4,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/IfSuccessfulNodeTest.java,com.twitter.nodes.IfSuccessfulNodeTest,testFailure,()V,void testFailure(),org.junit.Test,2,1,1,IfSuccessfulNode create(Node<T> node),1,,0,,0,0,0,0,0,,0,0,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/PredicateNodeTest.java,com.twitter.nodes.PredicateNodeTest,testPredicate,()V,void testPredicate(),org.junit.Test,3,3,4,Node<T> value(T value)|PredicateNode<SourceType> create(Node<SourceType> node; Predicate<SourceType> predicate)|T resultFromNode(Node<T> node)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,java.lang.Exception,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/PredicateNodeTest.java,com.twitter.nodes.PredicateNodeTest,testNullInput,()V,void testNullInput(),org.junit.Test,5,5,9,Future liftToTry()|Future<Resp> apply()|Node<T> value(T value)|Object result(Awaitable arg0)|PredicateNode<SourceType> create(Node<SourceType> node; Predicate<SourceType> predicate)|Throwable getException(Future future)|boolean isThrow()|void assertTrue(boolean condition),8,,0,,0,1,1,0,0,java.lang.Exception,2,2,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/PredicateNodeTest.java,com.twitter.nodes.PredicateNodeTest,testPredicateException,()V,void testPredicateException(),org.junit.Test,6,7,11,Future liftToTry()|Future<Resp> apply()|Node<T> value(T value)|Object result(Awaitable arg0)|PredicateNode<SourceType> create(Node<SourceType> node; Predicate<SourceType> predicate)|Throwable getCause()|Throwable getException(Future future)|boolean isThrow()|void assertTrue(boolean condition),9,,0,,0,1,1,0,0,java.lang.Exception,3,3,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/SubgraphTest.java,com.twitter.nodes.SubgraphTest,testSimple,()V,void testSimple(),org.junit.Test,2,2,2,Subgraph getEnclosingSubgraph()|void assertEquals(Object expected; Object actual),2,,0,,0,0,0,0,0,,1,1,,0,,0
Nodes,nodes,/nodes/src/test/java/com/twitter/nodes/SubgraphTest.java,com.twitter.nodes.SubgraphTest,testNoPublicField,()V,void testNoPublicField(),org.junit.Test,1,1,0,,0,,0,,0,0,0,0,0,,0,0,,0,,0
