mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
truth,truth,/truth/src/test/java/com/google/common/truth/ExpectFailureWithStackTraceTest.java,com.google.common.truth.ExpectFailureWithStackTraceTest,expectTwoFailures,()V,void expectTwoFailures(),org.junit.Test,2,2,4,IntegerSubject that(Integer actual)|StringSubject that(String actual)|void contains(CharSequence string)|void isNotEqualTo(Object unexpected),4,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/MathUtilTest.java,com.google.common.truth.MathUtilTest,floatEquals,()V,void floatEquals(),org.junit.Test,9,9,27,BooleanSubject assertThat(Boolean actual)|boolean equalWithinTolerance(float left; float right; float tolerance)|void isFalse()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/MathUtilTest.java,com.google.common.truth.MathUtilTest,doubleEquals,()V,void doubleEquals(),org.junit.Test,9,9,27,BooleanSubject assertThat(Boolean actual)|boolean equalWithinTolerance(double left; double right; double tolerance)|void isFalse()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/MathUtilTest.java,com.google.common.truth.MathUtilTest,floatNotEquals,()V,void floatNotEquals(),org.junit.Test,9,9,27,BooleanSubject assertThat(Boolean actual)|boolean notEqualWithinTolerance(float left; float right; float tolerance)|void isFalse()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/MathUtilTest.java,com.google.common.truth.MathUtilTest,doubleNotEquals,()V,void doubleNotEquals(),org.junit.Test,9,9,27,BooleanSubject assertThat(Boolean actual)|boolean notEqualWithinTolerance(double left; double right; double tolerance)|void isFalse()|void isTrue(),4,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/MathUtilTest.java,com.google.common.truth.MathUtilTest,equalsDifferentTypes,()V,void equalsDifferentTypes(),org.junit.Test,2,2,6,BooleanSubject assertThat(Boolean actual)|boolean equalWithinTolerance(double left; double right; double tolerance)|void isFalse(),3,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/BigDecimalSubjectTest.java,com.google.common.truth.BigDecimalSubjectTest,isEqualTo,()V,void isEqualTo(),java.lang.SuppressWarnings|org.junit.Test,1,1,2,BigDecimalSubject assertThat(BigDecimal actual)|void isEqualTo(Object expected),2,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/BigDecimalSubjectTest.java,com.google.common.truth.BigDecimalSubjectTest,isEquivalentAccordingToCompareTo,()V,void isEquivalentAccordingToCompareTo(),org.junit.Test,1,1,2,BigDecimalSubject assertThat(BigDecimal actual)|void isEquivalentAccordingToCompareTo(BigDecimal expected),2,,0,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/BigDecimalSubjectTest.java,com.google.common.truth.BigDecimalSubjectTest,isEqualToIgnoringScale_bigDecimal,()V,void isEqualToIgnoringScale_bigDecimal(),org.junit.Test,6,6,9,BigDecimalSubject assertThat(BigDecimal actual)|BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual)|void assertFailureKeys(String[] keys)|void assertFailureValue(String key; String value)|void isEqualToIgnoringScale(BigDecimal expected),5,BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual),1,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/BigDecimalSubjectTest.java,com.google.common.truth.BigDecimalSubjectTest,isEqualToIgnoringScale_int,()V,void isEqualToIgnoringScale_int(),org.junit.Test,5,5,7,BigDecimalSubject assertThat(BigDecimal actual)|BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual)|void assertFailureKeys(String[] keys)|void assertFailureValue(String key; String value)|void isEqualToIgnoringScale(long expected),5,BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual),1,,0,0,0,0,0,,0,0,,0,,0
truth,truth,/truth/src/test/java/com/google/common/truth/BigDecimalSubjectTest.java,com.google.common.truth.BigDecimalSubjectTest,isEqualToIgnoringScale_long,()V,void isEqualToIgnoringScale_long(),org.junit.Test,5,5,7,BigDecimalSubject assertThat(BigDecimal actual)|BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual)|void assertFailureKeys(String[] keys)|void assertFailureValue(String key; String value)|void isEqualToIgnoringScale(long expected),5,BigDecimalSubject expectFailureWhenTestingThat(BigDecimal actual),1,,0,0,0,0,0,,0,0,,0,,0
