mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/HttpHostsTest.java,com.twitter.hbc.HttpHostsTest,testExceptionIfBadScheme,()V,void testExceptionIfBadScheme(),org.junit.Test,4,9,3,boolean add(Object e)|void fail(),2,,0,,0,0,0,0,0,,1,1,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/HttpHostsTest.java,com.twitter.hbc.HttpHostsTest,testIsScrambled,()V,void testIsScrambled(),org.junit.Test,7,11,4,String nextHost()|boolean add(Object e)|boolean equals(Object anObject)|void assertFalse(String message; boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/HttpHostsTest.java,com.twitter.hbc.HttpHostsTest,testContainsAll,()V,void testContainsAll(),org.junit.Test,7,9,6,String nextHost()|boolean add(Object e)|boolean isEmpty()|boolean remove(Object o)|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,2,2,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/HttpHostsTest.java,com.twitter.hbc.HttpHostsTest,testInfiniteIteration,()V,void testInfiniteIteration(),org.junit.Test,6,8,4,String nextHost()|boolean add(Object e)|boolean contains(Object o)|void assertTrue(boolean condition),4,,0,,0,0,0,0,0,,1,1,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,com.twitter.hbc.RateTrackerTest,testRateTracking,()V,void testRateTracking(),org.junit.Test,6,8,7,boolean isNaN(double v)|double getCurrentRateSeconds()|void assertEquals(Object expected; Object actual)|void assertTrue(boolean condition)|void eventObserved()|void recalculate(),6,,0,,0,0,0,0,0,,1,1,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,com.twitter.hbc.RateTrackerTest,testRateConsistency,()V,void testRateConsistency(),org.junit.Test,10,13,13,boolean isNaN(double v)|double getCurrentRateSeconds()|void assertEquals(Object expected; Object actual)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void eventObserved()|void recalculate(),7,,0,,0,0,0,0,0,,2,2,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,com.twitter.hbc.RateTrackerTest,testSlidingWindow,()V,void testSlidingWindow(),org.junit.Test,17,19,21,boolean isNaN(double v)|double getCurrentRateSeconds()|void assertEquals(Object expected; Object actual)|void assertTrue(boolean condition)|void eventObserved()|void recalculate(),6,,0,,0,0,0,0,0,,1,1,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,com.twitter.hbc.RateTrackerTest,testPausing,()V,void testPausing(),org.junit.Test,22,24,25,boolean isNaN(double v)|double getCurrentRateSeconds()|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void eventObserved()|void pause()|void recalculate()|void resume(),8,,0,,0,0,0,0,0,,5,5,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,com.twitter.hbc.ReconnectionManagerTest,testLinearBackoff,()V,void testLinearBackoff(),org.junit.Test,8,8,13,int incrAndGetLinearBackoff()|void assertEquals(long expected; long actual)|void resetCounts(),3,,0,,0,0,0,0,0,,6,6,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,com.twitter.hbc.ReconnectionManagerTest,testExponentialBackoff,()V,void testExponentialBackoff(),org.junit.Test,8,8,13,int incrAndGetExponentialBackoff()|void assertEquals(long expected; long actual)|void resetCounts(),3,,0,,0,0,0,0,0,,6,6,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,com.twitter.hbc.ReconnectionManagerTest,testBackoffSwitching,()V,void testBackoffSwitching(),org.junit.Test,11,11,20,int incrAndGetExponentialBackoff()|int incrAndGetLinearBackoff()|void assertEquals(long expected; long actual),3,,0,,0,0,0,0,0,,10,10,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,com.twitter.hbc.ReconnectionManagerTest,testEstimateBackfill,()V,void testEstimateBackfill(),org.junit.Test,4,4,6,int estimateBackfill(double tps)|void assertEquals(long expected; long actual),2,,0,,0,0,0,0,0,,3,3,,0,,0
hbc,hbc-core,/hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,com.twitter.hbc.ReconnectionManagerTest,testRetries,()V,void testRetries(),org.junit.Test,7,8,9,boolean shouldReconnectOn400s()|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void resetCounts(),4,,0,,0,0,0,0,0,,4,4,,0,,0
